city,gu,school_cnt
서울특별시,광진구,광양중학교
서울특별시,광진구,광장중학교
서울특별시,광진구,광진중학교
서울특별시,성동구,광희중학교
서울특별시,광진구,구의중학교
서울특별시,광진구,대원국제중학교
서울특별시,성동구,동마중학교
서울특별시,광진구,동국대학교사범대학부속여자중학교
서울특별시,성동구,무학중학교
서울특별시,성동구,성수중학교
서울특별시,성동구,성원중학교
서울특별시,광진구,신양중학교
서울특별시,성동구,옥정중학교
서울특별시,광진구,용곡중학교
서울특별시,광진구,자양중학교
서울특별시,성동구,한양대학교사범대학부속중학교
서울특별시,성동구,행당중학교
서울특별시,강북구,강북중학교
서울특별시,성북구,고려대학교사범대학부속중학교
서울특별시,성북구,고명중학교
서울특별시,성북구,남대문중학교
서울특별시,성북구,동구여자중학교
서울특별시,강북구,번동중학교
서울특별시,성북구,북악중학교
서울특별시,성북구,삼선중학교
서울특별시,강북구,서라벌중학교
서울특별시,성북구,석관중학교
서울특별시,성북구,성신여자중학교
서울특별시,강북구,성암여자중학교
서울특별시,강북구,수송중학교
서울특별시,강북구,수유중학교
서울특별시,강북구,신일중학교
서울특별시,강북구,영훈국제중학교
서울특별시,성북구,용문중학교
서울특별시,성북구,월곡중학교
서울특별시,강북구,인수중학교
서울특별시,성북구,장위중학교
서울특별시,성북구,종암중학교
서울특별시,강북구,창문여자중학교
서울특별시,성북구,한성여자중학교
서울특별시,성북구,홍익대학교사범대학부속중학교
서울특별시,강북구,화계중학교
서울특별시,종로구,경신중학교
서울특별시,중구,금호여자중학교
서울특별시,중구,대경중학교
서울특별시,종로구,대신중학교
서울특별시,종로구,덕성여자중학교
서울특별시,중구,덕수중학교
서울특별시,종로구,동성중학교
서울특별시,용산구,배문중학교
서울특별시,종로구,배화여자중학교
서울특별시,용산구,보성여자중학교
서울특별시,종로구,상명대학교사범대학부속여자중학교
서울특별시,용산구,선린중학교
서울특별시,용산구,성심여자중학교
서울특별시,동작구,숭의여자중학교
서울특별시,용산구,신광여자중학교
서울특별시,용산구,오산중학교
서울특별시,용산구,용강중학교
서울특별시,용산구,용산중학교
서울특별시,중구,장원중학교
서울특별시,중구,장충중학교
서울특별시,종로구,중앙중학교
서울특별시,중구,창덕여자중학교
서울특별시,종로구,청운중학교
서울특별시,용산구,한강중학교
서울특별시,중구,한양중학교
서울특별시,중구,환일중학교
서울특별시,송파구,서울체육중학교
서울특별시,강북구,삼각산중학교
서울특별시,노원구,을지중학교
서울특별시,관악구,구암중학교
서울특별시,성동구,경일중학교
서울특별시,성동구,마장중학교
서울특별시,성북구,개운중학교
서울특별시,광진구,양진중학교
서울특별시,강서구,염경중학교
서울특별시,도봉구,효문중학교
서울특별시,마포구,상암중학교
서울특별시,강서구,수명중학교
서울특별시,은평구,진관중학교
서울특별시,양천구,목운중학교
서울특별시,강북구,미양중학교
서울특별시,서대문구,인왕중학교
서울특별시,송파구,문현중학교
서울특별시,강동구,강명중학교
